  116/1999     2.21G   0.02136   0.01235  0.002264   0.03598         4       640    0.9928     0.963    0.9863    0.7992   0.01661  0.008475  0.001657
  117/1999     2.21G    0.0232    0.0128  0.002844   0.03884         5       640    0.9929    0.9934    0.9955    0.7787   0.01758  0.008694  0.001952
  118/1999     2.21G   0.02417   0.01374    0.0027   0.04061         4       640    0.9638    0.9965    0.9955    0.7931   0.01658  0.008356  0.002164
  119/1999     2.21G   0.02395   0.01383  0.002605   0.04039        28       640    0.9902    0.9944    0.9954    0.7758   0.01765   0.00859  0.001794
  120/1999     2.21G   0.02117   0.01256  0.002263   0.03599         4       640    0.9956    0.9983    0.9954    0.7999   0.01735  0.008242  0.001716
  121/1999     2.21G   0.02148   0.01406  0.002398   0.03793        23       640    0.9959    0.9956    0.9954    0.7845   0.01775  0.008494  0.001618
  122/1999     2.21G    0.0212   0.01235  0.005129   0.03868         3       640     0.993    0.9977    0.9954    0.7733   0.01801   0.00837  0.001549
  123/1999     2.21G   0.02063   0.01152  0.002927   0.03507         3       640    0.9833         1    0.9954    0.8202   0.01628  0.007974  0.001583
  124/1999     2.21G   0.02014   0.01258  0.002179    0.0349        20       640    0.9769    0.9998    0.9955    0.7846   0.01855  0.008325  0.001781
  125/1999     2.21G   0.02218   0.01231  0.004002   0.03849         1       640    0.9954    0.9584    0.9863    0.7924   0.01699  0.008173   0.00167
  126/1999     2.21G   0.02264   0.01397  0.002132   0.03874         4       640    0.9816    0.9601    0.9863    0.7958   0.01704  0.008498  0.001866
  127/1999     2.21G   0.02251   0.01309  0.002232   0.03783        14       640    0.9885    0.9531    0.9863    0.7941   0.01668  0.008782  0.002086
  128/1999     2.21G   0.02264   0.01366  0.002826   0.03912         5       640    0.9565    0.9914    0.9955    0.8054   0.01678  0.008665  0.001968
  129/1999     2.21G   0.02149    0.0125  0.002521   0.03651         4       640    0.9628    0.9923    0.9946    0.7975   0.01726  0.008666   0.00235
  130/1999     2.21G    0.0213   0.01185   0.00288   0.03604         6       640    0.9879    0.9895    0.9954    0.7904   0.01769  0.008313  0.002268
  131/1999     2.21G   0.02236    0.0139  0.002447   0.03871         5       640    0.9805    0.9889    0.9908    0.8186   0.01557  0.007874  0.002624
  132/1999     2.21G   0.02095   0.01307  0.002294   0.03632         5       640    0.9719    0.9934    0.9947    0.8081   0.01606  0.007837  0.002285
  133/1999     2.21G   0.02043   0.01169  0.002298   0.03442         8       640    0.9811    0.9999    0.9955    0.8158   0.01673  0.007908  0.001713
  134/1999     2.21G   0.02031     0.013   0.00209    0.0354         4       640    0.9819    0.9721    0.9955    0.8251   0.01615  0.007867  0.001542
  135/1999     2.21G    0.0198   0.01141  0.002624   0.03383         6       640    0.9954    0.9599    0.9601    0.7837   0.01678  0.008628  0.001635
  136/1999     2.21G   0.02145   0.01129  0.001972   0.03471         7       640    0.9908    0.9689    0.9954    0.7761   0.01932   0.00867  0.002248
  137/1999     2.21G   0.02176   0.01249  0.003314   0.03756         4       640    0.9793    0.9831    0.9954    0.8216    0.0167   0.00821  0.001782
  138/1999     2.21G   0.02036   0.01251  0.002457   0.03533         3       640    0.9744    0.9999    0.9955    0.8062   0.01758  0.008484  0.001998
  139/1999     2.21G   0.02153   0.01362  0.002317   0.03746         5       640     0.988    0.9989    0.9955    0.8027   0.01683  0.008603  0.001837
  140/1999     2.21G   0.02044   0.01216  0.002784   0.03538        14       640    0.9951    0.9604    0.9863    0.8093   0.01615  0.008348   0.00168
  141/1999     2.21G   0.01927   0.01298  0.002614   0.03486         8       640    0.9831    0.9616    0.9863    0.7744   0.01701  0.008478  0.001617
  142/1999     2.21G   0.02207   0.01269   0.00253   0.03729         5       640    0.9785    0.9574    0.9863    0.7928   0.01704  0.008451  0.001636
  143/1999     2.21G   0.02103   0.01141  0.002294   0.03473         2       640    0.9919    0.9543    0.9863    0.7806   0.01766  0.008652  0.001631
  144/1999     2.21G   0.01966   0.01277  0.002216   0.03464         4       640    0.9881    0.9506    0.9863    0.7999   0.01659  0.008318   0.00205
  145/1999     2.21G      0.02   0.01289  0.002436   0.03532        15       640    0.9947    0.9488    0.9636    0.7689   0.01703  0.008423  0.001841
  146/1999     2.21G   0.02008   0.01131  0.002121   0.03352         4       640    0.9896    0.9524    0.9863    0.7781   0.01761  0.008401  0.001553
  147/1999     2.21G   0.02102    0.0118  0.002316   0.03514         6       640     0.991    0.9875    0.9954    0.8086    0.0164  0.008236  0.002049
  148/1999     2.21G   0.02064   0.01186  0.002123   0.03462         5       640    0.9919    0.9973    0.9954    0.8099   0.01613  0.008631  0.001821
  149/1999     2.21G   0.02107   0.01251  0.002155   0.03574         3       640    0.9811    0.9929    0.9955    0.7916   0.01689  0.008479   0.00195
  150/1999     2.21G   0.02054   0.01211  0.002362   0.03501         2       640    0.9966    0.9845    0.9955    0.7912    0.0171  0.008306  0.001705
  151/1999     2.21G   0.01941   0.01206  0.002364   0.03384         5       640    0.9927    0.9816    0.9955     0.792   0.01683   0.00841  0.001837
  152/1999     2.21G    0.0202   0.01256  0.001864   0.03462        11       640    0.9872    0.9938    0.9955    0.7938   0.01643  0.008239  0.001714
  153/1999     2.21G   0.02145   0.01178   0.00219   0.03543         5       640    0.9685    0.9904    0.9955    0.7853   0.01674  0.008369  0.001597
  154/1999     2.21G   0.02066   0.01229  0.001832   0.03478        13       640     0.994    0.9933    0.9954    0.7994   0.01704  0.008319  0.001629
  155/1999     2.21G   0.02177   0.01278    0.0023   0.03685         5       640     0.997    0.9844    0.9955    0.8088   0.01673  0.008362  0.001649
  156/1999     2.21G   0.02006   0.01156  0.001981    0.0336         3       640    0.9948    0.9524    0.9863    0.7714   0.01797  0.008416  0.001773
  157/1999     2.21G   0.02162    0.0124  0.002124   0.03615        11       640    0.9942    0.9597    0.9863    0.8013   0.01696  0.008454  0.001416
  158/1999     2.21G    0.0206    0.0125  0.001753   0.03485         2       640    0.9832    0.9809    0.9955    0.7982   0.01691  0.008649  0.001409
  159/1999     2.21G    0.0215   0.01301  0.001984   0.03649        14       640    0.9941    0.9803    0.9955    0.8011   0.01636  0.008578  0.001724
  160/1999     2.21G   0.01964   0.01316  0.002099    0.0349        13       640    0.9745    0.9951    0.9955     0.798    0.0164   0.00855  0.001797
  161/1999     2.21G   0.01974   0.01192  0.001983   0.03364        12       640    0.9633    0.9994    0.9955    0.8068   0.01643    0.0083  0.001705
  162/1999     2.21G   0.01937   0.01157  0.004854    0.0358         2       640    0.9804    0.9899    0.9946    0.7948    0.0177  0.008549  0.001598
  163/1999     2.21G   0.01958   0.01142  0.003341   0.03434         7       640    0.9657         1    0.9955    0.8249   0.01597  0.007916  0.001573
  164/1999     2.21G   0.02136   0.01196  0.002206   0.03552         4       640    0.9759    0.9769    0.9955    0.8064   0.01637  0.008368  0.001481
  165/1999     2.21G   0.01994   0.01278  0.002012   0.03473         7       640    0.9488    0.9981    0.9863    0.7976   0.01635  0.008214  0.001452
  166/1999     2.21G   0.02015   0.01312  0.001951   0.03522         3       640    0.9921    0.9929    0.9954    0.8062   0.01619  0.008371  0.001371
  167/1999     2.21G   0.01979   0.01404  0.001983   0.03582        13       640    0.9825    0.9742    0.9955    0.8119    0.0159  0.008506  0.001257
  168/1999     2.21G   0.01798   0.01197  0.002125   0.03207         5       640    0.9921    0.9628    0.9863    0.8091   0.01547  0.008172  0.001251
  169/1999     2.21G   0.01972   0.01253   0.00205   0.03431         5       640     0.993    0.9998    0.9955    0.8128   0.01615  0.008306  0.001227
  170/1999     2.21G   0.01929   0.01225  0.001691   0.03324         4       640    0.9864    0.9999    0.9955    0.8081   0.01572  0.007902  0.001281
  171/1999     2.21G   0.01854   0.01103  0.001712   0.03128         2       640    0.9973     0.963    0.9863    0.8065   0.01588   0.00827   0.00129
  172/1999     2.21G   0.01919   0.01194   0.00215   0.03327         5       640    0.9939    0.9629    0.9597      0.78    0.0161  0.008702  0.001525
  173/1999     2.21G   0.02045   0.01299  0.002402   0.03584         5       640    0.9919    0.9583    0.9599    0.7821   0.01649  0.008666  0.001459
  174/1999     2.21G    0.0189   0.01268  0.001947   0.03353         2       640    0.9905    0.9988    0.9955    0.8081   0.01712  0.008463  0.001389
  175/1999     2.21G   0.01971   0.01252  0.002011   0.03424         4       640    0.9839     0.986    0.9955     0.805   0.01699  0.008576    0.0015
  176/1999     2.21G   0.01933   0.01165  0.002187   0.03317         4       640    0.9867     0.987    0.9955     0.822   0.01551  0.008251  0.001376
  177/1999     2.21G   0.02042   0.01237  0.002014   0.03481        11       640    0.9889    0.9629    0.9863    0.8045   0.01611  0.008231   0.00129
  178/1999     2.21G   0.01919   0.01151  0.001876   0.03258        12       640     0.995     0.963    0.9863    0.7778    0.0168  0.008483  0.001263
  179/1999     2.21G   0.01959   0.01215  0.001787   0.03353         5       640    0.9945    0.9629    0.9863    0.7997   0.01675  0.008697  0.001294
  180/1999     2.21G   0.01884   0.01239  0.002038   0.03327        10       640    0.9741    0.9877    0.9955    0.7971   0.01681  0.008571  0.001263
  181/1999     2.21G   0.01876   0.01115   0.00183   0.03174         9       640    0.9953    0.9629    0.9863    0.8044     0.017  0.008753  0.001222
  182/1999     2.21G   0.01786   0.01189   0.00156   0.03131        11       640    0.9963     0.963    0.9863    0.8152   0.01624  0.008643  0.001256
  183/1999     2.21G   0.01872   0.01112  0.001644   0.03149         4       640    0.9924    0.9703    0.9955    0.8124   0.01604  0.008349  0.001318
  184/1999     2.21G   0.01912   0.01136   0.00193   0.03241         2       640    0.9742    0.9974    0.9955    0.7987   0.01686   0.00854  0.001505
  185/1999     2.21G   0.01985   0.01269  0.001808   0.03435         3       640     0.973    0.9937    0.9955    0.8056   0.01673  0.008438  0.001457
  186/1999     2.21G   0.01982   0.01097  0.002057   0.03285         2       640    0.9733         1    0.9955    0.8136   0.01666   0.00829  0.001447
  187/1999     2.21G    0.0205   0.01104  0.002422   0.03397         5       640    0.9693    0.9999    0.9955    0.8158   0.01589  0.008315  0.001509
  188/1999     2.21G   0.02055   0.01281  0.001875   0.03524        13       640    0.9821         1    0.9955    0.8201   0.01598  0.008226  0.001539
  189/1999     2.21G   0.01879   0.01126  0.002408   0.03246         2       640    0.9843     0.997    0.9955    0.8206   0.01568  0.008439  0.001589
  190/1999     2.21G   0.02002   0.01094  0.001788   0.03275         6       640    0.9724    0.9754    0.9955    0.7935   0.01594   0.00847  0.001751
  191/1999     2.21G   0.01971    0.0124  0.001797   0.03391         4       640    0.9707    0.9664    0.9955    0.8018   0.01589  0.008561  0.002302
  192/1999     2.21G   0.02032   0.01241  0.001874   0.03461         5       640    0.9888    0.9736    0.9955    0.7927   0.01603  0.008645  0.001409
  193/1999     2.21G   0.02033   0.01259  0.001927   0.03485         5       640    0.9818         1    0.9955     0.783   0.01739  0.008737  0.001413
  194/1999     2.21G   0.01909   0.01214  0.003467    0.0347         2       640    0.9836         1    0.9955    0.7976    0.0176  0.008667  0.001271
  195/1999     2.21G   0.01948   0.01159   0.00174    0.0328         8       640    0.9884         1    0.9955    0.7922   0.01693  0.008711  0.001286
  196/1999     2.21G   0.01889   0.01155  0.001836   0.03227         5       640    0.9807    0.9999    0.9955    0.8047   0.01726  0.008293   0.00143
  197/1999     2.21G   0.01904   0.01162  0.001757   0.03241         7       640    0.9811    0.9981    0.9955    0.7948   0.01663  0.008136  0.001424
  198/1999     2.21G    0.0207   0.01175  0.001887   0.03433         1       640    0.9872    0.9914    0.9955    0.8095   0.01567  0.007929  0.001646
  199/1999     2.21G    0.0177   0.01093  0.001683   0.03031         8       640    0.9759         1    0.9955     0.802   0.01643  0.008248  0.001394
  200/1999     2.21G   0.01847   0.01167  0.001997   0.03213         3       640    0.9948    0.9938    0.9955    0.7952   0.01635  0.008273  0.001672
